,title,byline,dates,datetime
57,Can you handle the heat? Hong Kong Observatory director forecasts more extreme weather after record-breaking years,,01 Jan 2017,2017-01-01
38,Farewell 2016 ... and hello 2017,,01 Jan 2017,2017-01-01
39,"Piecing together a big bang, one meteorite at a time: Thousands of years ago, an asteroid broke up above Earth, raining meteorites over Altay, in the Xinjiang region. The fragments were found more than 400km apart, making it possibly the longest known meteorite-strewn field. XU WEIBIAO, a professor at Nanjing's Purple Mountain Observatory, tells STEPHEN CHEN about this meteorite shower and other discoveries from his nearly four decades of work in China",,01 Jan 2017,2017-01-01
40,Zhang's 20 / 20 vis i o n: The 26-year-old Chinese shuttler will still be young enough to have a fair crack at the Tokyo Games in 2020 and become the first Olympic champion with three gold medals,,01 Jan 2017,2017-01-01
41,Hong Kong's illegal ivory hub status 'could grow after planned mainland China ban': Total mainland ban on ivory in a year's time puts pressure on city to speed up its own plans,,01 Jan 2017,2017-01-01
42,"Taiwan's President Tsai predicts challenging times for island in 2017: Xi Jinping pledges to protect sovereignty, while Tsai Ing-wen says she can handle 'uncertainties'",,01 Jan 2017,2017-01-01
43,Celebrity deaths in 2016,,01 Jan 2017,2017-01-01
44,China hi-tech hub mayor adds party chief to his resume: Xu Qin takes top job in hi-tech hub as former chief becomes acting Guangdong governor,,01 Jan 2017,2017-01-01
46,"Heavy smog back to choke northern China over three-day New Year holiday: Heavy pollution in Beijing-Tianjin-Hebei, Henan and Shandong areas set to remain until Thursday",,01 Jan 2017,2017-01-01
47,The Hong Kong palace Museum process so far,,01 Jan 2017,2017-01-01
45,Fishing for fun,,01 Jan 2017,2017-01-01
49,Carrie Lam in latest hint at possible run to be Hong Kong chief executive: Chief secretary pledges to 'spare no effort to do something good for Hong Kong',,01 Jan 2017,2017-01-01
58,"China tweaks yuan basket to play down US dollar: Central bank adds 11 currencies to trade-weighted basket, reducing the importance of the yuan-dollar parity",,01 Jan 2017,2017-01-01
48,Macau denies entry to two former Hong Kong pan-democratic lawmakers for 'security' reasons: Frederick Fung and Cheung Man-kwong turned away even after Beijing lifted travel restrictions on opposition politicians,,01 Jan 2017,2017-01-01
55,"Here's hoping words of harmony, respect and trust will define 2017",,01 Jan 2017,2017-01-01
54,"'One country, two systems' will be an anchor in a year of uncertainty",,01 Jan 2017,2017-01-01
56,Celebratory colour,,01 Jan 2017,2017-01-01
52,Pitfalls exist when Hong Kong has no framework for common law marriage: The absence of common law marriage in HK was highlighted when tycoon cut ties with girlfriend,,01 Jan 2017,2017-01-01
51,One last meal,,01 Jan 2017,2017-01-01
50,City sees in the new year with a traditional bang,,01 Jan 2017,2017-01-01
53,"Planning chiefs reveal vision for more public space in heaving Hong Kong: Ideas include turning roads in packed Mong Kok into recreational space, more pedestrian zones and creating performance areas under bypasses",,01 Jan 2017,2017-01-01
151,"Gibson the latest to suffer in the transfer merry-go-round: When it comes to trainers, Hong Kong owners are renowned for putting results ahead of loyalty",,02 Jan 2017,2017-01-02
157,Purton kick-starts the New Year with a quartet,,02 Jan 2017,2017-01-02
156,China's online scalpers leverage their e-commerce skills to make money: Mainlanders make money by buying sought-after items online and then reselling them at premium,,02 Jan 2017,2017-01-02
155,MMG sees tight focus and tapping local talent as keys to outbound M&A success,,02 Jan 2017,2017-01-02
154,Chinese investors making smarter decisions when it comes to buying overseas property: Mainland investors steer clear of top-tier cities and luxury homes as they seek better value for their cash in yield-friendly buy-to-let markets,,02 Jan 2017,2017-01-02
152,"Blizzard storms to group victory, eyes bigger prizes: Yiu's smart five-year-old overpowers his rivals in the Chinese Club Challenge Cup at Sha Tin, leaving the trainer left to ponder his next move",,02 Jan 2017,2017-01-02
150,Moore collects treble to begin 2017 with a bang,,02 Jan 2017,2017-01-02
153,"Fuji Xerox eyes cloud, 3D printer expansion initiatives in China: Fuji Xerox targets key mainland cities for its cloud business while sharpening its focus on the higher-end 3D printer market",,02 Jan 2017,2017-01-02
148,Mo enjoys tasty meal,,02 Jan 2017,2017-01-02
122,A closer look at who joined Xi Jinping's meeting with CY Leung reveals what awaits Hong Kong: More timely policy adjustments expected for city will reflect domestic and international factors,,02 Jan 2017,2017-01-02
123,Social enterprise finds winning formula to help marginalised Hong Kong gamers: Smart play by social enterprise aims to provide youngsters with learning and job opportunities,,02 Jan 2017,2017-01-02
124,Key welfare issues like 'walking on thin ice': Government racing to find balanced solutions on MPF offsetting and working hours by June,,02 Jan 2017,2017-01-02
125,"Born at the stroke of midnight, Hong Kong's first baby of 2017 followed by three others within an hour: Boy born at Baptist Hospital is followed nearly 20 minutes later by girl at Queen Elizabeth",,02 Jan 2017,2017-01-02
126,"Colourful dragon dance parade and harbour swim kick off 2017 events in Hong Kong: Celebrations held across the city to mark the start of the new year, with a dragon dance parade, parties, markets and even a dip in the sea for some",,02 Jan 2017,2017-01-02
127,News website launched in wake of editor attack,,02 Jan 2017,2017-01-02
128,the 10 to tackle,,02 Jan 2017,2017-01-02
129,big failure on child well-being: Advocacy group's latest report card shows the government only scored 15 out of a possible 100 when it came to youngsters' livelihood concerns,,02 Jan 2017,2017-01-02
130,"Macau world's second densest ATM hot spot: IMF report shows gaming hub topped only by South Korea for number of 'holes in the wall' per head, as access to cash also widens in poor countries",,02 Jan 2017,2017-01-02
131,Dream of public housing flat unlikely to come true,,02 Jan 2017,2017-01-02
