,title,byline,dates,datetime
132,Calls to break monopoly of wholesale beef supplier,"Nip, Amy.",01 Jan 2013,2013-01-01
136,"HK stocks chalk up 23 pc gain over 2012 Mainland stocks end a two-year losing streak with Shanghai Composite up 3.17pc; Hang Seng may hit 28,000-point level in 2013, expert says","Yu, Sophie; Daniel Ren in Shanghai.",01 Jan 2013,2013-01-01
137,Merrymakers confident of safety on board ferries,"Lee, Ada; Lau, Stuart.",01 Jan 2013,2013-01-01
138,The party starts here,,01 Jan 2013,2013-01-01
139,Police in show of force for c.y. rallies A law-and-order nightmare looms with tens of thousands expected to demonstrate for and against the chief executive on the same day,"Lee, Colleen; But, Joshua.",01 Jan 2013,2013-01-01
140,Property sales up 6pc as deals hit two-year high,"Li, Sandy.",01 Jan 2013,2013-01-01
141,Restaurant brothers agree to management deal,"Chiu, Austin.",01 Jan 2013,2013-01-01
142,Black mark for cityfrom children in need Government scores just six out of 100 as underprivileged youngsters urge Leung not to forget them in his upcoming policy address,"Ho, Jolie.",01 Jan 2013,2013-01-01
143,There was no winner of last... [Derived headline],,01 Jan 2013,2013-01-01
144,"We can do better, says outgoing antiquities chief Ad hoc approach to buildings in private hands is undesirable, Bernard Chan says","Ng, Joyce.",01 Jan 2013,2013-01-01
145,2012: when car parks became cash shelters The buyer's stamp duty touched off a mania for parking spaces but now investors might find it hard navigating their way to the speculative exit,"Sito, Peggy.",01 Jan 2013,2013-01-01
135,"Factory surge drives index to 19-month high Manufacturing expansion indicates economy on the mend, PBOC chief hints policies to continue",Victoria Ruan in Beijing victoria.ruan@scmp.com.,01 Jan 2013,2013-01-01
146,Celebrity makeovers of the season A new year has begun so it's time to start a clean slate and turn dreams into solid plans. CitySeen asked some of the city's movers and shakers if they had any New Year's resolutions that they actually stuck to,"Chen, Vivian.",01 Jan 2013,2013-01-01
148,1. National education controversy [Derived headline],,01 Jan 2013,2013-01-01
149,"Monday, January 7: Hong Kong Securities... [Derived headline]",,01 Jan 2013,2013-01-01
150,More notsatisfied with HKprogress,"Ho, Lauren.",01 Jan 2013,2013-01-01
151,MY TAKEThe year today will be gone tomorrow,"Schoonakker, Bonny.",01 Jan 2013,2013-01-01
152,New NPC deputy won't take job for granted Chan Yung counters criticism of 'feudal' ballot with promise to work hard and reflect views of all Hongkongers regardless of political leanings,"Cheung, Tony.",01 Jan 2013,2013-01-01
153,"Power up, lending down, game onPower up, lending down, game on In the second of a two-part series, the Post examines how infrastructure, energy, shipping and gaming fared in 2012 and what lies ahead in 2013","Tsang, Denise; Ng, Eric; Toh Han Shih; Wallis, Keith; Yu, Sophie.",01 Jan 2013,2013-01-01
154,"Reforms in any colour so long as they are regulatory New laws for 2013 prioritise liability of bankers, accountants and companies - across the board","Yiu, Enoch.",01 Jan 2013,2013-01-01
155,Table of contents,,01 Jan 2013,2013-01-01
156,Thousands march against C.Y. Leung [Derived headline],,01 Jan 2013,2013-01-01
157,Try not to allow them to open... [Derived headline],,01 Jan 2013,2013-01-01
147,Shipping lines cut clean fuel deal Ships calling at the city's port will go on using low sulphur diesel in exchange for government timeline to make such fuel use compulsory,"Wallis, Keith.",01 Jan 2013,2013-01-01
158,Liaison office accused of breaking law Democrats ask ICAC to check if Beijing officials' election help to Paul Tse required expense filing,"Cheung, Tony.",01 Jan 2013,2013-01-01
134,1. Titanic 3D [Derived headline],,01 Jan 2013,2013-01-01
131,A tour of old Hong Kong,,01 Jan 2013,2013-01-01
109,Groups surprised by quota limits for rallies New rules will restrict licences for fund-raising stalls at the June 4 and July 1 political gatherings,"But, Joshua.",01 Jan 2013,2013-01-01
110,Hongkongers hope for a more placid 2013 Common ground between people and government near top of wish lists,"Choi, Christy; Lau, Stuart; Ngo, Jennifer.",01 Jan 2013,2013-01-01
111,Mainlanders lift arrivals numbers,"Nip, Amy.",01 Jan 2013,2013-01-01
112,"Tough year ahead for needy as prices go up Social workers appeal to government to help low-income families as food prices, fares rise","Man, Joyce.",01 Jan 2013,2013-01-01
113,"Fishing for a future A way of life is over. From today, trawling in Hong Kong waters is banned, leaving crews of local boats facing difficult choices","Chi-fai, Cheung.",01 Jan 2013,2013-01-01
114,Power firm fails to meet target Hongkong Electric helped users on HK Island and Lamma cut 1.7 million kilowatt-hours in three years instead of 3 million a year,"Chi-fai, Cheung.",01 Jan 2013,2013-01-01
115,Watsons Water delivery workers threaten to strike Company offer for employees to resign and return on independent contract angers the union,"Siu, Phila.",01 Jan 2013,2013-01-01
116,"Maritime agencies need streamlining, experts say","Ng, Teddy.",01 Jan 2013,2013-01-01
117,Shanxi denies covering up deaths at building site,"Chi-yuk, Choi.",01 Jan 2013,2013-01-01
