,title,byline,dates,datetime
375,events,,16-Apr-15,2015-04-16
359,BASEBALL,,16-Apr-15,2015-04-16
368,Consumer Council warns on pitfalls of airline reward schemes,"Lau, Chris.",16-Apr-15,2015-04-16
358,"Prebble finally gets to perform the best Tango: Chris So-trained horse scores his first win in 16 starts, having shown great promise overseas","Aitken, Alan.",16-Apr-15,2015-04-16
342,"China enlists auditors to investigate state firms' offshore assets: Beijing enlists seven firms, including PwC, to investigate projects and holdings this year","Ren, Daniel.",16-Apr-15,2015-04-16
356,Macbeth,,16-Apr-15,2015-04-16
376,Chart of the day: Indian stock rallies best for selling,,16-Apr-15,2015-04-16
339,"HK$116m in debt, former Exco member Barry Cheung declared bankrupt: Former Exco member's woes deepen as fallout continues from the collapse of his HKMEx","Chan, Thomas.",16-Apr-15,2015-04-16
340,China-led infrastructure bank accepts 57 nations as founding members: Poland and Portugal are among the latest batch of countries to get approval for membership,"Huang, Cary.",16-Apr-15,2015-04-16
341,China's private jet market hits turbulence from graft crackdown: Growth slows as corruption crackdown deters buyers from ordering luxury items,"Zuo, Mandy.",16-Apr-15,2015-04-16
343,who said it?,,16-Apr-15,2015-04-16
344,Schooling choice a lesson in economics,"Lo, Alex.",16-Apr-15,2015-04-16
345,CONTACT US,,16-Apr-15,2015-04-16
346,Taiwan's DPP picks Tsai to run for president,,16-Apr-15,2015-04-16
347,Parallel trading syndicates issue smugglers with 'receipts' to evade arrest: Traders pose as genuine buyers with papers supplied by syndicate bosses,"Lo, Clifford.",16-Apr-15,2015-04-16
348,Beijing told to cut taxes and invest in infrastructure to safeguard jobs: Slowest growth in six years for mainland economy prompts employment fears and calls for action,"Ruan, Victoria.",16-Apr-15,2015-04-16
349,"Spirit of Basic Law key to Hong Kong political reform debate, Beijing's man in city says",,16-Apr-15,2015-04-16
350,"Barry Cheung: rapid fall from grace of city's 'best civil servant': Widely admired for his talents, Barry Cheung's undoing was his pursuit of an ambitious dream","Chan, Thomas.",16-Apr-15,2015-04-16
351,Calling time on fakes,,16-Apr-15,2015-04-16
352,"Entrepreneurs held back by social pressures, says Hong Kong study","Woodhouse, Alice.",16-Apr-15,2015-04-16
353,Two-thirds of Chinese history teachers opposed to curriculum revision,"So, Peter.",16-Apr-15,2015-04-16
354,"University of Hong Kong dragging its feet on talks to extend retirement age, union says","Ngo, Jennifer.",16-Apr-15,2015-04-16
355,Angel Whispers (III) (Cantonese),,16-Apr-15,2015-04-16
357,The Planner,,16-Apr-15,2015-04-16
377,Surge in goods trade balance rings alarm bells for mainland economy,"van der Kamp, Jake.",16-Apr-15,2015-04-16
385,"Tougher penalties the only long-term solution to stop parallel traders, say concern groups","Nip, Amy.",16-Apr-15,2015-04-16
379,Hong Kong hotel site draws strong interest despite China tourist curb,"Li, Sandy.",16-Apr-15,2015-04-16
389,"Many visitors to Li Ka-shing's monastery turned away while those who get in to Tsz Shan complain about lack of food: Many people who make long trek turned away at the door, while those who get in left hungry","Cheung, Elizabeth.",16-Apr-15,2015-04-16
388,Caroliners stroll into knockout stage: South China secure home-ground advantage for next round with perfect record after four matches in group stage of the AFC Cup,Chan Kin-wa.,16-Apr-15,2015-04-16
387,Macau hit by second blackout in three weeks,"Ying-kit, Lai.",16-Apr-15,2015-04-16
386,Union queries US$50m Wynn Resorts land deal on Macau's Cotai Strip,"Lau, Stuart.",16-Apr-15,2015-04-16
378,No let-up expected in Hong Kong dollar peg defence until US rate rise: No let-up for now as hot money inflows force actions in past week to weaken local currency by injecting HK$30b to buy greenbacks,"Yiu, Enoch; Chan, Ray.",16-Apr-15,2015-04-16
383,College builds its own Great Wall,,16-Apr-15,2015-04-16
382,Sandstorm leaves Beijing shrouded in dust,,16-Apr-15,2015-04-16
381,Hong Kong people must remain vigilant on corruption,,16-Apr-15,2015-04-16
380,"With stable job market, China's slowing growth is no reason for pessimism",,16-Apr-15,2015-04-16
384,Fair goods 'cheap but not novel',He Huifeng.,16-Apr-15,2015-04-16
425,"China news in brief, April 18, 2015",,18-Apr-15,2015-04-18
416,"Tears as hundreds mourn girl, 15, who jumped to her death from Repulse Bay flat","Lam, Lana.",18-Apr-15,2015-04-18
417,HONG KONG,,18-Apr-15,2015-04-18
418,Real feelings for artificial intelligence,"Lo, Alex.",18-Apr-15,2015-04-18
419,who said it?,,18-Apr-15,2015-04-18
420,"Civic Party rejects Carrie Lam's overtures on 2017 poll reform: As Civic Party rejects Carrie Lam's overtures, officials plot campaign to win public support","Ying-kit, Lai; Cheung, Gary.",18-Apr-15,2015-04-18
421,"Jailing of Chinese journalist Gao Yu part of push to silence critic: Lawyers for 71-year-old Gao Yu condemn guilty verdict in state secrets case, saying decision was based on coercion and unfounded allegations","Yu, Verna.",18-Apr-15,2015-04-18
422,Surprise plan approved to tear down Excelsior hotel,"Li, Sandy.",18-Apr-15,2015-04-18
424,Airstrip on Spratly Islands is for 'supply and maintenance only': Chinese ambassador,"Meng, Angela.",18-Apr-15,2015-04-18
426,"US$46 billion Pakistan-China Corridor will not use Asian bank funds: US$46 billion plan to link Pakistani port with Xinjiang will not involve Asian bank or Silk Road Fund, says diplomat ahead of Xi's visit","Ng, Teddy.",18-Apr-15,2015-04-18
432,Revision needed for catch-all law,,18-Apr-15,2015-04-18
428,"In age of e-commerce behemoths, microshops find their niche: Faced with a sea of retailers on big sites like Taobao, consumers are turning to small stores hosted on WeChat, often run by friends","Sun, Celine.",18-Apr-15,2015-04-18
429,Armoured car guards fiddle while cash burns,,18-Apr-15,2015-04-18
430,Putin open to talks with Japan about islands off Hokkaido,Julian Ryall in.,18-Apr-15,2015-04-18
431,Cutting through the red tape,,18-Apr-15,2015-04-18
415,"Rising politician Starry Lee vows to rebuild Hong Kong's biggest party, the DAB: Lawmaker and Exco member says she will reach out to young Hongkongers - but analysts and party insiders see tough times ahead","Cheung, Tony.",18-Apr-15,2015-04-18
433,The pathway to,,18-Apr-15,2015-04-18
434,Pair of strategic share placements seek to raise 8.3 billion yuan: Shares being issued to less than 20 investors in pair of deals announced by Shanghai Fosun Pharmaceutical and developer Beijing North Star,"Chan, Ray.",18-Apr-15,2015-04-18
435,S&P sees more defaults likely as Chinese developers 'deteriorate',Toh Han Shih.,18-Apr-15,2015-04-18
436,Chart of the day: More bets against the house in Macau,,18-Apr-15,2015-04-18
437,events,,18-Apr-15,2015-04-18
427,Former Great Firewall official under arrest,"Gan, Nectar.",18-Apr-15,2015-04-18
414,"Shanghai and Shenzhen markets at record highs as Hong Kong drops: Shanghai and Shenzhen hit 1.5tr yuan turnover, while investors cash in profits across the border","Chan, Ray; Yiu, Enoch.",18-Apr-15,2015-04-18
423,Team behind China's Operation Fox Hunt revealed: Man leading hunt for corrupt officials overseas reveals the qualities that make his team tick,"Gan, Nectar.",18-Apr-15,2015-04-18
412,Pakistan corridor 'will not use AIIB funds',,18-Apr-15,2015-04-18
413,Regina Ip accused of racism over tales of Filipino domestic helpers bedding their expatriate bosses: Exco member accused of racism over tales of Filipinos bedding expats,"Lam, Jeffie.",18-Apr-15,2015-04-18
390,"Bogus doctor arrested after visiting patients in United Christian Hospital: Fake medic examined patients in public wards wearing stolen white coat, say police sources","Lo, Clifford; Cheung, Elizabeth.",18-Apr-15,2015-04-18
391,"City Digest for April 18, 2015",,18-Apr-15,2015-04-18
392,Frustrated amateur scientist sentenced to 10 months in Hong Kong jail for bottle bomb,"Chu, Julie.",18-Apr-15,2015-04-18
393,Hong Kong views split on labelling for milk formula products: Government must decide whether to take a restrictive or lenient approach to what formula manufacturers can claim for their products,"Tsang, Emily.",18-Apr-15,2015-04-18
394,Hong Kong's bamboo scaffolders take high risks in Causeway Bay,Staff Reporter.,18-Apr-15,2015-04-18
396,Hong Kong's children are less happy than ever in latest survey measuring joy: Professor suggests Occupy could be behind decline in happiness index,"Lau, Chris.",18-Apr-15,2015-04-18
397,"Paper Talk for April 18, 2015",Paper Talk.,18-Apr-15,2015-04-18
398,Police officers shave heads in cancer campaign,,18-Apr-15,2015-04-18
399,Trash-tracking app could help keep Hong Kong waterways clean: Hikers and beachgoers will be able to send photos to database to help clean-up campaigns,"Kao, Ernest.",18-Apr-15,2015-04-18
400,Central Market revitalisation may take a cut as URA grapples with finances: Renewal body mulls works on a smaller scale as it is under government instructions to conduct a value-for-money audit after a deficit last year,"Wong, Olga; Cheung, Elizabeth.",18-Apr-15,2015-04-18
395,Senior new staff appointed to re-energise controversial Central Police Station project: Senior appointments to focus on contemporary art and heritage at revamp of site in Central,"Chow, Vivienne.",18-Apr-15,2015-04-18
402,Hong Kong attracts Silicon Valley start-up in race with China to create technology hub,"Woodhouse, Alice.",18-Apr-15,2015-04-18
411,The message can't be clearer: Beijing wants a bull market,,18-Apr-15,2015-04-18
401,Controversial hotel at The Peak approved with conditions: Car journeys along narrow Lugard Road will be limited - but critics still unhappy,"Siu, Phila.",18-Apr-15,2015-04-18
409,Doo could be the real deal for HK's Rio hopes,Chan Kin-wa.,18-Apr-15,2015-04-18
408,The Fall of Lucifer: Symphonic Poem for Trombone & Orchestra,,18-Apr-15,2015-04-18
407,Angel Whispers (III) (Cantonese),,18-Apr-15,2015-04-18
410,Trainer Tony Cruz aims for fourth victory in interport series,"Cox, Michael.",18-Apr-15,2015-04-18
405,URA cash woes may hit Central Market project: Renewal body mulls works on a smaller scale as it is under government instructions to conduct a value-for-money audit after a deficit last year,"Wong, Olga; Cheung, Elizabeth.",18-Apr-15,2015-04-18
404,Senior new staff appointed to re-energise controversial Central Police Station scheme: Senior appointments to focus on contemporary art and heritage at revamp of site in Central,"Chow, Vivienne.",18-Apr-15,2015-04-18
403,"Hong Kong police must name assault suspects, Civic Party activist tells court","Chan, Thomas.",18-Apr-15,2015-04-18
406,10 Chancery Lane Gallery,,18-Apr-15,2015-04-18
562,China's dumb strategy when it comes to smartphones: Smartphone makers in China focus on quick profits rather than breakthrough technologies,,20-Apr-15,2015-04-20
561,Tough balancing act for Hong Kong's five 'super seat' lawmakers: The latest in our series on district council polls looks at the challenges facing these five legislators,"So, Peter.",20-Apr-15,2015-04-20
560,Tai Long Wan still under threat from development - despite refusal for homes plan: Developer planning resort in pristine coastal area of Sai Kung country park - even though another proposal was knocked back last week,"Kao, Ernest.",20-Apr-15,2015-04-20
559,Tai Long Wan still under threat from development: Developer planning resort in pristine coastal area of Sai Kung country park - even though another proposal was knocked back last week,"Kao, Ernest.",20-Apr-15,2015-04-20
558,Peak fitness,,20-Apr-15,2015-04-20
557,Hong Kong should keep an eye on the new Shenzhen party boss: Appointment of a top scientist may herald a new role for Hong Kong's fast-developing neighbour,"Tam, Tammy.",20-Apr-15,2015-04-20
555,Hong Kong teachers' union points to Beijing bias in university council appointments: Teachers' union says one in three CY appointments has mainland links,"Lau, Stuart.",20-Apr-15,2015-04-20
554,Government drive to drum up support for its reform stance,"Kang-chung, Ng; Siu, Phila.",20-Apr-15,2015-04-20
553,"City Digest for April 20, 2015",,20-Apr-15,2015-04-20
552,"From dark times to high spirits, Hong Kong Sinfonietta shines: Orchestra delivers with programme of classics and a new work that brings the house down","Chou, Oliver.",20-Apr-15,2015-04-20
551,"Opportunities emerge for private firms to enter China's LNG market: No longer the exclusive domain of state-owned giants, opportunities are emerging in China's LNG market for private companies","Yang, Jing.",20-Apr-15,2015-04-20
556,"More schools set for career scheme: Extension of Clap for Youth initiative will benefit 200,000 young people","Kao, Ernest.",20-Apr-15,2015-04-20
505,"Winning screenwriter lauds Hong Kong cinema at awards ceremony: Among those recognised were Felix Chong, veteran Kenneth Tsang and singer Ivana Wong","Cheung, Tony.",20-Apr-15,2015-04-20
510,Nothing positive in a negative question,"Lo, Alex.",20-Apr-15,2015-04-20
503,Rejection of electoral reform package may be the lesser of two evils,"Kang-chung, Ng.",20-Apr-15,2015-04-20
502,The exceptional rise of China's Mixmind fashion empire: The Exception brand grew steadily but flew under the media radar until its very public exposure by first lady Peng Liyuan,"Zuo, Mandy.",20-Apr-15,2015-04-20
518,A new class of super farmer,,20-Apr-15,2015-04-20
517,The online health consultations that could ease pressure on China's hospitals: Long-distance consultations over the internet could help ease pressure on oversubscribed hospitals and boost use of grass-roots facilities,"Yan, Alice.",20-Apr-15,2015-04-20
516,China frustrated by delayed reforms to increase its say at IMF: Central bank chief says alternative to the 2010 plan may be solution to give China greater say,"Huang, Cary.",20-Apr-15,2015-04-20
515,who said it?,,20-Apr-15,2015-04-20
514,Pan-democrats 'at odds with public opinion',,20-Apr-15,2015-04-20
513,PBOC move may reverse expected sell-off in stocks: Central bank's action to cut level of cash banks must hold could stabilise markets spooked by regulatory clampdown on margin trading,"Robertson, Benjamin.",20-Apr-15,2015-04-20
512,"Starry, starry night",,20-Apr-15,2015-04-20
511,CONTACT US,,20-Apr-15,2015-04-20
509,Trail blazers,,20-Apr-15,2015-04-20
508,'The Golden Era' is big winner at Hong Kong 'Oscars': Movie takes five gongs as Ann Hui named best director for fifth time; 'Overheard 3' also hailed,"Cheung, Tony.",20-Apr-15,2015-04-20
550,"StanChart targets corporate customers for growing private banking unit: A year after shaking up its operations, the lender is looking to its network of existing customers to grow its newly formed segment","Weinland, Don.",20-Apr-15,2015-04-20
504,The battle to pocket public opinion: The government and pan-democrats are in a PR fight ahead of the reform package's unveiling,"Kang-chung, Ng.",20-Apr-15,2015-04-20
549,"Cross-border yuan transactions forecast to soar: Cross-border transactions in the mainland currency are expected to more than double in five years, says survey of multinational firms","Yu, Jeanny.",20-Apr-15,2015-04-20
520,"Social networks awash with scammers looking to befriend you: Fraudsters hiding behind fake profiles are increasingly populating social networks, on the prowl for new 'friends' to scam, writes Mark Sharp","Sharp, Mark.",20-Apr-15,2015-04-20
547,results,,20-Apr-15,2015-04-20
519,"Do the maths to win college spot: CUHK summer courses in mathematics can boost your chances of getting a place at university, writes Andrea Zavadszky",,20-Apr-15,2015-04-20
521,Sussex China Internship Scheme launched; Open University of Hong Kong signs Memorandum of Understanding with Turkish university,,20-Apr-15,2015-04-20
522,Does knuckle cracking cause arthritis?,"Wang, Jeanette.",20-Apr-15,2015-04-20
523,"Even brief binges on fatty foods can cause health problems, 'breath print' can identify stomach cancer; divorced women more at risk of heart attacks","Wang, Jeanette.",20-Apr-15,2015-04-20
524,"Men: what your finger size says about you: If you want to know the measure of a man, check his fingers, writes Jeanette Wang",,20-Apr-15,2015-04-20
525,Style check: Brazil's fashion industry looks to expand globally,"Zhang, Jing.",20-Apr-15,2015-04-20
526,Angel Whispers (III) (Cantonese),,20-Apr-15,2015-04-20
527,Charli XCX,,20-Apr-15,2015-04-20
528,The Planner,,20-Apr-15,2015-04-20
529,'Dressage horse' Pablosky far from one-dimensional: John Moore says grey can expand horizons and win over an extended mile or at Happy Valley,"Cox, Michael.",20-Apr-15,2015-04-20
530,Fantasy Thunders into the staying picture in Trophy: John Size's Classic Cup winner proves the beneficiary of a masterful Brett Prebble ride to stake his claim for upcoming feature races,"Aitken, Alan.",20-Apr-15,2015-04-20
506,New UK system could squeeze more capacity out of Chek Lap Kok: Technology allowing jets to land closer could squeeze more capacity from Chek Lap Kok,"Sung, Timmy.",20-Apr-15,2015-04-20
531,Hall's elation turns to grief after Star demise,"Hawkins, Andrew.",20-Apr-15,2015-04-20
548,Big discounts spur buyers to snap up CK Hutchison flats: Price cuts of up to 19 per cent see buyers grab remaining 516 flats of the Tseung Kwan O project,"Yu, Jeanny.",20-Apr-15,2015-04-20
532,Local rider forced to miss last two races after barrier mishap,,20-Apr-15,2015-04-20
534,Prominent owner scores first HK win under birthday boy Doleuze,,20-Apr-15,2015-04-20
535,Secret Weapon proves lethal in Whyte double,"Aitken, Alan.",20-Apr-15,2015-04-20
536,"Happy Man left Laughing after Dual success: Trainer makes it 28 wins for the season, keeping him at sixth in the trainers' championship","Cox, Michael.",20-Apr-15,2015-04-20
537,Da Silva hits four for chasing Eastern: Brazilian achieves the feat for the first time in Hong Kong as his team steamroll past YFCMD,Chan Kin-wa.,20-Apr-15,2015-04-20
538,Mainland students key to maintaining diversity says University of Kent vice chancellor: Vice chancellor at British university recognises increased competition for international applicants,"Ngo, Jennifer.",20-Apr-15,2015-04-20
539,Lucky escape for Hong Kong driver and wife after falling tree crushes their car on Mid-Levels road,"Chan, Samuel.",20-Apr-15,2015-04-20
540,First lady fashion: the exceptional rise of China's Mixmind fashion empire: The Exception brand grew steadily but flew under the media radar until its very public exposure by first lady Peng Liyuan,"Zuo, Mandy.",20-Apr-15,2015-04-20
541,Profile for Hong Kong's Hau Chi-keung,,20-Apr-15,2015-04-20
542,"As 'sewage waterfall' shows, Hong Kong must cut red tape in emergencies",,20-Apr-15,2015-04-20
543,Tokyo must seize chance of war anniversary to mend ties with China,,20-Apr-15,2015-04-20
544,Hong Kong stock market bull run could see equities usurp property: Lower transaction costs and greater liquidity may draw investors from real estate market,"Li, Sandy.",20-Apr-15,2015-04-20
545,Stock investors on edge over China's policy moves: Punters brace for impact from the mainland's curbs on margin lending and cut in banks' reserve requirements following Friday's global sell-off,"Robertson, Benjamin.",20-Apr-15,2015-04-20
546,events,,20-Apr-15,2015-04-20
533,Peter Ho makes gear adjustments to win first-up with new arrival,,20-Apr-15,2015-04-20
507,Hong Kong businesses warm to New Silk Road initiatives,"Lee, Eddie.",20-Apr-15,2015-04-20
596,"University of Hong Kong don says studying in mainland China will be voluntary, apologises for 'clumsy' remarks: Amid outcry, vice-president says study trips across the border will not be made mandatory","Lau, Stuart.",21-Apr-15,2015-04-21
608,"Letters Question, April 21, 2015",,21-Apr-15,2015-04-21
593,"Beijing policy volatility could signal new equity upside: Investors should look beyond the noise and focus on the big picture of reform, liquidity and cheap valuations, Goldman Sachs analysts say","Edwards, Nick.",21-Apr-15,2015-04-21
594,Extra funds for policy lenders to spur growth,,21-Apr-15,2015-04-21
595,"Hong Kong firms set to gain from Guangdong free-trade zone, but more details needed","Lee, Eddie.",21-Apr-15,2015-04-21
597,CONTACT US,,21-Apr-15,2015-04-21
598,My take: Conspiracy theory on student study trips to China,"Lo, Alex.",21-Apr-15,2015-04-21
600,"Curse of Ting Hai hits markets despite Beijing easing move: Financial secretary had warned about the return of actor Adam Cheng, whose TV appearances have been bizarrely linked to market sell-offs","Robertson, Benjamin.",21-Apr-15,2015-04-21
601,Li Ka-shing leads list of ethnic Chinese billionaires: Forbes: Li Ka-shing heads list of ethnic Chinese billionaires but most come from the mainland,"Zuo, Mandy.",21-Apr-15,2015-04-21
602,"Beijing 'will push ahead' building in disputed areas of South China Sea, say analysts","Ng, Teddy.",21-Apr-15,2015-04-21
603,"I'm taking Xi to a Chinese restaurant if he visits Manila, says Aquino","Robles, Raissa.",21-Apr-15,2015-04-21
604,Philippines supports Japan's bid to boost military with change to pacifist constitution,"Robles, Raissa.",21-Apr-15,2015-04-21
605,"Vietnam asked for strategic pact, Philippine President Aquino reveals: Benigno Aquino reveals in exclusive interview that the purpose of any such agreement is not to antagonise Beijing but to build relationships","Robles, Raissa.",21-Apr-15,2015-04-21
606,"Xi Jinping did not talk down to me like 'elder brother': Aquino: Conversation with Chinese president at Apec meeting cordial despite tensions over South China Sea, Philippine President Aquino says","Robles, Raissa.",21-Apr-15,2015-04-21
592,"Policy support fuels hopes of China property market recovery: Mainland property market shrugs off Kaisa debt default, encouraged by strong series of measures expected to bring back house buyers","Chiang, Langi.",21-Apr-15,2015-04-21
607,"Obituary: Sir Roger Lobo, Hong Kong lawmaker who sought transparency on pre-handover talks","Lobo, Roger.",21-Apr-15,2015-04-21
610,"China's 'one-two punch' to spur economic growth: Liquidity injection for banking system, coupled with more funds for policy lenders, could help prompt rebound in economy, analysts say","Ruan, Victoria.",21-Apr-15,2015-04-21
611,"Luxury SUVs hope to catch eye of China's middle classes at Shanghai Auto Show: Carmakers will be displaying 1,343 models - including 109 vehicles that are making their global debut","Man-ki, Kwong.",21-Apr-15,2015-04-21
612,Chinese President Xi Jinping in Pakistan to launch projects worth US$45 billion: Honour guard greets president as he arrives to announce energy and infrastructure schemes that will dwarf US investment in the country,Agencies.,21-Apr-15,2015-04-21
613,"Head of 'Baidu's Brain' talks smart cars, AI tech: Yu Kai, chief of web giant's Institute of Deep Learning, shares thoughts on the road ahead","Wan, Adrian; Wu, Nan.",21-Apr-15,2015-04-21
614,"Head of Brain of Baidu talks smart cars, AI tech: Yu Kai, chief of web giant's Institute of Deep Learning, shares thoughts on a brave new world","Wan, Adrian; Wu, Nan.",21-Apr-15,2015-04-21
615,Prosecutors criticised in 'child abuse' case,,21-Apr-15,2015-04-21
616,Blackwater case provides crucial lessons on keeping private security firms in check,,21-Apr-15,2015-04-21
617,No money freed up that wasn't already,"van der Kamp, Jake.",21-Apr-15,2015-04-21
618,Taiwan presidential hopeful Tsai Ing-wen faces fine balancing act on ties with mainland China,,21-Apr-15,2015-04-21
619,"HSBC chief says bank must be managed better, not smaller","Edwards, Nick.",21-Apr-15,2015-04-21
620,Hutchison Whampoa shareholders vote in favour of group's merger plan,"Sito, Peggy; Li, Sandy.",21-Apr-15,2015-04-21
621,China rolls out new rules for foreign investment in free-trade zones: Central government issues standard policies and shorter list of areas off limits to foreign players,"Huang, Cary.",21-Apr-15,2015-04-21
609,China's national security law to address 'harmful moral standards',Reuters.,21-Apr-15,2015-04-21
591,"Bubbles a winner in waiting, with even Luck","Aitken, Alan.",21-Apr-15,2015-04-21
599,Canadian International School teachers storm out of meeting as head refuses to quit,"Lee, Danny.",21-Apr-15,2015-04-21
589,Philippines expresses concern over Hong Kong politician Regina Ip's comments on maids: But politician stands by claim of complaints about Filipino maids seducing employers,"Tsang, Emily.",21-Apr-15,2015-04-21
563,Hong Kong dock workers threaten strike over 8.5pc pay rise demand: Union boss says workers 'haven't ruled out any actions' in their push for a wage increase,"Siu, Phila.",21-Apr-15,2015-04-21
564,"Creditor stepped in to pay Hong Kong Mercantile Exchange rent, court hears: Revelation was made as the magistrate deferred sentencing of former Mercantile Exchange chairman Barry Cheung over failure to pay wages","Lau, Chris.",21-Apr-15,2015-04-21
565,Cabbie and passenger hit by taxi as they argue on Yuen Long highway,"Lo, Clifford.",21-Apr-15,2015-04-21
566,Heritage plan for Peak hotel may collapse in wake of 11 development criteria: Criteria imposed by town planners may spell end for the historic mansion,"Cheung, Elizabeth.",21-Apr-15,2015-04-21
567,Discovery Bay investor demands compensation for lost sea view,"Chu, Julie.",21-Apr-15,2015-04-21
568,China shipyards hit as oil price fall forces delay in delivery of rigs: Mainland state-owned builders hit as offshore oil service companies push back six orders worth US$2 billion on lack of charter contracts,"Yang, Jing.",21-Apr-15,2015-04-21
569,Cathay Pacific pilot arrested for having knives in hand luggage at London's Heathrow Airport: Cathay Pacific flight crew member held following security alert at London's Heathrow Airport,"Siu, Phila.",21-Apr-15,2015-04-21
590,Chart of the day: Policy divide looming for China stocks,,21-Apr-15,2015-04-21
571,Revealing informants' identity becomes issue of legal debate in Hong Kong: The Court of Appeal ruled that a complete prohibition would be contrary to the Basic Law,"Raffell, Andrew.",21-Apr-15,2015-04-21
572,Battery firm Johnson Controls in push for China start-stop fuel efficiency,"Ren, Daniel.",21-Apr-15,2015-04-21
573,Hong Kong stock market rally has not led to more hires: Smooth trading on online platform vital as market bull run attracts new investors,"Yiu, Enoch.",21-Apr-15,2015-04-21
574,"City Digest for April 21, 2015",,21-Apr-15,2015-04-21
575,"Hong Kong Legislative Council president Tsang Yok-sing blocks most budget amendments: Leung Kwok-hung is affected most, losing 98pc of his amendments","Kang-chung, Ng.",21-Apr-15,2015-04-21
570,Global marques go on SUV drive in China: Surge in mainland demand sees manufacturers bring luxury models to the Shanghai car show,"Man-ki, Kwong.",21-Apr-15,2015-04-21
588,Trainer John Moore confident of Charles The Great after successful throat surgery: Trainer John Moore believes horse can win Sprint Cup again after minor throat surgery,"Aitken, Alan.",21-Apr-15,2015-04-21
576,"No shift in Hong Kong political reform principles, says top Beijing official Wang Guangya: Hong Kong and Macau Affairs Office director lays down Beijing's bottom line two days before Hong Kong government unveils poll package","Lam, Jeffie.",21-Apr-15,2015-04-21
587,BASEBALL,,21-Apr-15,2015-04-21
586,"Striking chestnut's time to Achieve in Triple Trio opener: Me Tsui's one-paced speedster is now rated 48, his lowest mark in his Hong Kong career, and he looks the best banker despite a poor draw","Cox, Michael.",21-Apr-15,2015-04-21
585,events,,21-Apr-15,2015-04-21
583,The low-down on carbo-loading,"Gonzales, Sasha.",21-Apr-15,2015-04-21
584,"First-time mum's cancer battle: The discovery of a cancerous lump on her back while pregnant tested the mettle of this dress designer who feared for her unborn child's safety, writes Vanessa Yung",,21-Apr-15,2015-04-21
581,For brew believers,,21-Apr-15,2015-04-21
580,"Does fermented drink kombucha actually have health benefits? Experts discuss: Kombucha, the fermented bacteria-based beverage, continues to win advocates despite the fact that there's little scientific evidence of its health benefits, writes Rachel Jacqueline","Rachel, Jacqueline.",21-Apr-15,2015-04-21
579,Hong Kong's MTR downplays water leaks in new stations: Executive says issues are common and no danger to trains or structure,"Sung, Timmy.",21-Apr-15,2015-04-21
578,ATV agrees to meet HKTV boss Ricky Wong for talks on programme deal,"Chow, Vivienne.",21-Apr-15,2015-04-21
577,University of Hong Kong students say no to compulsory studies in mainland China in union poll: Student union poll finds most undergraduates oppose mandatory study trips - but university defends idea and says details are not finalised,"Lau, Stuart.",21-Apr-15,2015-04-21
582,"Health Bites: benefits of maple syrup, sugar as stress reliever","Wang, Jeanette.",21-Apr-15,2015-04-21
669,My biggest mistake: Aquino concedes errors that led to deaths of 44 commandos,"Robles, Raissa.",22-Apr-15,2015-04-22
665,"Hong Kong needs cultural shift to promote investment in tech start-ups, HKSTP chairwoman says: Young people should be encouraged to choose science and technology careers says HKSTP chairwoman as she admits body has fallen short","Woodhouse, Alice.",22-Apr-15,2015-04-22
668,The childhood memory that explains why Benigno Aquino is a bachelor president,"Robles, Raissa.",22-Apr-15,2015-04-22
667,"Smiling Benigno Aquino 'ridiculous' and 'lacking empathy', Manila hostage crisis survivors say: Philippine President Benigno Aquino says smile after Manila hostage crisis was to control his feelings - but survivors say that's ridiculous","Chan, Samuel.",22-Apr-15,2015-04-22
666,Western diplomat urges pan-democrats to endorse political reforms: Western diplomat says accepting 'imperfect' proposal would be in city's best interests,"Lam, Jeffie.",22-Apr-15,2015-04-22
664,China's super-rich confident of going it alone in investing,"Ren, Daniel.",22-Apr-15,2015-04-22
657,Exco member Arthur Li hits out at University of Hong Kong students and academics: Scholars who disappear into 'Neverland' and young activists out to impress girls are targets of new university council appointee's ire,"Lau, Stuart.",22-Apr-15,2015-04-22
662,CONTACT US,,22-Apr-15,2015-04-22
661,"Hong Kong home rents fall for first time in 12 months: Some see this as prelude to fall in home prices, and analysts predict tenants could seek further rent reductions as housing completions rise","Sito, Peggy.",22-Apr-15,2015-04-22
660,First step on new Silk Road,,22-Apr-15,2015-04-22
659,"Developer David Chiu, son of ATV's father, in bid to form new TV station: Developer David Chiu and Pansy Ho join forces to seek TV licence with investment of HK$3.2b","Lee, Eddie; Li, Sandy.",22-Apr-15,2015-04-22
658,AmCham in China presses case for transparency and fairness,,22-Apr-15,2015-04-22
670,"Amcham seeks fairer rules for foreign business: Despite progress, big problems persist on the mainland in key areas from rule of law to intellectual property rights, group says","Ruan, Victoria.",22-Apr-15,2015-04-22
663,Starry-eyed over DAB's new chief,"Lo, Alex.",22-Apr-15,2015-04-22
671,Fitting the bill,,22-Apr-15,2015-04-22
684,China sees first default by state-owned firm: Baoding Tianwei Baobian Electric's failure to repay interest on 1.5 billion yuan bond stokes fears of further defaults by state-backed firms,"Yu, Jeanny.",22-Apr-15,2015-04-22
673,"Jailed Chinese journalist appeals against 'shameless' sentencing: Veteran in high spirits, but says her latest jail term hits new level of 'shamelessness': lawyer","Yu, Verna.",22-Apr-15,2015-04-22
656,China's IPO rules to ease under new registration system,"Ren, Daniel.",22-Apr-15,2015-04-22
